start_point_id,minIndex,minDistSquare
401,2.0,0.00231132899692
402,1.0,0.0026072022634
403,1.0,0.00372715783244
404,2.0,0.00305309299725
405,2.0,0.00253804442773
406,2.0,0.0113282958095
407,2.0,0.00195960808922
408,1.0,0.00156764554378
409,1.0,0.00366633134211
410,2.0,0.00189225704919
411,2.0,0.00228767888292
412,2.0,0.00308814518229
413,2.0,0.00208922791513
414,2.0,0.00141674442872
415,2.0,0.0121285646074
416,2.0,0.00286577777979
417,1.0,0.0112217477623
418,2.0,0.00258844870509
419,2.0,0.00158651836772
420,2.0,0.00267488081375
421,2.0,0.00163778023627
422,2.0,0.00294116681135
423,2.0,0.00963293391075
424,1.0,0.0114203768748
425,2.0,0.00217115326657
426,1.0,0.00391746333823
427,2.0,0.00225825412219
428,2.0,0.00182553182554
429,1.0,0.00306602324082
430,1.0,0.00269423277129
431,2.0,0.00201433131783
432,2.0,0.00202054974756
433,2.0,0.00449446343172
434,1.0,0.00300429351418
435,1.0,0.00238535874014
436,2.0,0.00222109953481
437,2.0,0.0020106600765
438,2.0,0.00233104794011
439,2.0,0.00296698609419
440,2.0,0.00269143246465
441,1.0,0.00280372650351
442,2.0,0.00284185083836
443,1.0,0.00355930235632
444,2.0,0.00187070598725
445,1.0,0.00460640409905
446,1.0,0.00390816360657
447,1.0,0.00317703046686
448,1.0,0.00478260279844
449,1.0,0.00501426436152
450,2.0,0.00280414251126
451,1.0,0.00416301975416
452,2.0,0.00290776186884
453,2.0,0.00226657797271
454,2.0,0.00259701944624
455,2.0,0.00120342990036
456,1.0,0.00338232012182
457,2.0,0.00138010842098
458,2.0,0.00268511888561
459,1.0,0.00142914476771
460,2.0,0.00198640363335
461,2.0,0.00201711679348
462,1.0,0.00282034442903
463,2.0,0.00286449760237
464,2.0,0.00275059455563
465,1.0,0.00262514243511
466,1.0,0.00245875773153
467,2.0,0.00376180346917
468,1.0,0.00503530537805
469,1.0,0.00790473294585
470,1.0,0.00665652289333
471,1.0,0.00333269378153
472,1.0,0.00325878536724
473,1.0,0.00273668325874
474,1.0,0.00544333490997
475,1.0,0.00283074961737
476,2.0,0.00224080122847
477,1.0,0.0040281839105
478,1.0,0.00344194646571
479,2.0,0.00190845638731
480,1.0,0.00467959011302
481,0.0,0.0
482,1.0,0.00337997505436
483,2.0,0.00217199818327
484,1.0,0.00427438363329
485,2.0,0.00254741715515
486,0.0,0.0
487,0.0,0.0
488,1.0,0.00438871068337
489,2.0,0.00272614206438
490,2.0,0.00398312067826
491,2.0,0.0019624339542
492,2.0,0.00321856726006
493,2.0,0.00259347308138
494,2.0,0.00289363182877
495,2.0,0.00256719240386
496,2.0,0.00218904626495
497,2.0,0.0017608963317
498,2.0,0.00262716132944
499,2.0,0.0019160509207
500,1.0,0.0127107560422
501,1.0,0.00265819495097
502,1.0,0.00250543711569
503,1.0,0.00321613868172
504,0.0,0.0
505,1.0,0.00316561504646
506,0.0,0.0
507,1.0,0.00405978887917
508,1.0,0.00280742874058
509,1.0,0.0101801037552
510,2.0,0.00319502763684
511,1.0,0.00290614564056
512,2.0,0.00187476790671
513,2.0,0.00161949564246
514,1.0,0.00309717508339
515,2.0,0.00342562503677
